number,reference,ref_key
27,"H.C. Evans, J. Chem. Soc. 1956; 579.",evans1956
28,"E. G ̈otte, M.J. Schwuger" Tenside 6 (1969) 131.",gotte1969
29,"J.W. Gershman, J. Phys. Chem. 61 (1957) 581.",gershman1957
30,"M.J. Frisch, G.W. Trucks, H.B. Schlegel, G.E. Scuseria, M.A. Robb,  J.R. Cheeseman, V.G. Zakrzewski, J.A. Montgomerg, R.E. Stratmann, J.C. Burant, S. Dapprich, J.M. Millam, A.D. Daniels, K.N. Kudin, M.C. Strain, O. Farkas, J. Tomas, V. Barone, M. Cossi, R. Cammi, B. Mennucci, C. Pomelli, C. Adamo, S. Clifford, J. Ochterski,  Table 3 The calculated logarithm of cmc for nine anionic surfactants comparing with the experimental cmc No. Structures (hydrophobichydrophilic segments)  NT m (D) QC-max (a.u.) Log10 cmc (exp) Log10 cmc (cal)  n-Alkyl sulfates 1 C6H13SO4  K 24 15.8320 K0.0311 K0.377 [35] K0.306 2 C7H15SO4  K 27 18.3971 K0.0310 K0.658 [35] K0.598 3 C9H19SO4  K 33 23.8740 K0.0311 K1.222 [35] K1.193 2,5-Dialkyl benzenesulfonates 4 R2ZC7H15, R5ZC7H15 57 14.4507 K0.0110 K2.695 [36] K2.554 5 R2ZC3H7, R5ZC11H23 57 25.0785 K0.0171 K3.143 [36] K2.899 6 R2ZC2H5, R5ZC12H25 57 28.9069 K0.0140 K3.284 [36] K3.022 7 R2ZC13H27, R5ZCH3 57 22.9595 K0.0127 K3.180 [36] K2.829 8 R2ZC12H25, R5ZC2H5 57 19.5352 K0.0113 K3.056 [36] K2.718 9 R2ZC11H23, R5ZC3H7 57 16.4871 K0.0102 K2.917 [36] K2.619 G.A. Petersson, P.Y. Ayala, Q. Cui, K. Morokuma, D.K. Malick, A.D. Rabuck, K. Raghavachari, J.B. Foresman, J. Cioslowski, J.V. Oritizi, B.B. Stefanov, G. Liu, A. Liashenico, P. Piskorz, I. Komaromi, R. Gomperts, R.L. Martin, D.J. Fox, T. Keith, M.A. Al-Laham, C.Y. Peng, A. Nanagakkara, C. Gonzalez, M. Challacombe, P.M.W. Gill, B.G. Johnson, W. Chen, M.W. Wong, J.L. Andres, C. Gonzalez, M. Head-Gordon, E.S. Replogle, J.A. Pople, Gaussian 98, Revision A.6, GAUSSIAN, Inc. Pittsburgh PA, 1998",frisch1998
31,"E.D. Glendening, A.E. Reed, J.E. Carpenter, F. Weinhold, NBO  Version 3.1.",glendening
32,"N. Bodor, Z. Gabany, C.K. Wang, J. Am. Chem. Soc. 111 (1989)  3783.",bodor1989
33,"N. Bodor, M.J. Huang, J. Comput. Chem. 12 (1991) 1182.",bodor1991
34,"J.W. Chen, X. Xue, K.W. Schramm, X. Quan, F. Yang, A. Kettrup,  Chemosphere 48 (2002) 535.",chen2002
35,"E.A.G. Aniannson, S.N. Wall, M. Almgren, H. Hoffmann, I. Kielman,  W. Ulbricht, R. Zana, J. Lang, C. Tondre, J. Phys. Chem. 80 (1976) 905.",aniannson1976
36,"E. Fanghanel, W. Ortman, K. Behrmann, S. Willscher, N.J. Turro,  I.R. Gould, J. Phys. Chem. 91 (1987) 3700.",fanghanel1987
