Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
66,C[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-].[Br-],35.1,[15],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2003.12.021
67,C[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],25.8,[15],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2003.12.021
68,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],36.4,[15],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2003.12.021
69,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],40.0,[15],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2003.12.021
70,CCCCCCCCCC[N+](C)(C)C.[Br-],36.2,[16],cationic,10.1016/j.ces.2022.118208,10.1021/je201107a
71,C1C[N+](CCO1)(CCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCC.[Cl-].[Cl-],36.0,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
72,C1C[N+](CCO1)(CCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCC.[Cl-].[Cl-],35.4,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
73,C1C[N+](CCO1)(CCCCCCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],36.0,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
74,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],38.2,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
75,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],39.9,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
76,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],42.5,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
77,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],49.1,[17],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2021.115781
78,CCCCCCCCCCCCC(C(CCCCCCCCCCCC)C[N+](C)(C)C)C[N+](C)(C)C.[Br-].[Br-],35.3,[18],cationic,10.1016/j.ces.2022.118208,10.5650/jos.51.715
79,CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],37.8,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
80,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],38.9,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
81,CCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],38.3,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
82,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],40.4,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
83,CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.1,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
84,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.8,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
85,CCCCCCCCCCCC[NH2+]CCO.[Cl-],40.8,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
86,CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],39.8,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
87,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],42.8,[19],cationic,10.1016/j.ces.2022.118208,10.1002/0471670561
88,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],37.0,[20],cationic,10.1016/j.ces.2022.118208,10.1016/S0144-8617(01)00299-5
89,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],37.2,[21],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2018.11.009
90,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCC.[Cl-],38.0,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
91,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],39.2,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
92,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCC)OC.[Cl-],40.7,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
93,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],40.3,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
94,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCC)OC.[Cl-],41.8,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
95,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCC)OC.[Cl-],42.1,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
96,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)OC.[Cl-],42.5,[22],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA07363K
97,[N+](C)(C)(CCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],37.0,[23],cationic,10.1016/j.ces.2022.118208,10.1021/la9904096
98,[N+](C)(C)(CCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],39.0,[23],cationic,10.1016/j.ces.2022.118208,10.1021/la9904096
99,[N+](C)(C)(CCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],40.0,[23],cationic,10.1016/j.ces.2022.118208,10.1021/la9904096
100,[N+](C)(C)(CCCCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],40.0,[23],cationic,10.1016/j.ces.2022.118208,10.1021/la9904096
101,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.5,[24],cationic,10.1016/j.ces.2022.118208,10.1021/je400861g
102,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.0,[24],cationic,10.1016/j.ces.2022.118208,10.1021/je400861g
103,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.2,[24],cationic,10.1016/j.ces.2022.118208,10.1021/je400861g
104,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.1,[24],cationic,10.1016/j.ces.2022.118208,10.1021/je400861g
105,CCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],38.7,[24],cationic,10.1016/j.ces.2022.118208,10.1021/je400861g
106,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.3,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
107,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.8,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
108,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],38.8,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
109,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],39.6,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
110,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],40.5,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
111,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],41.6,[25],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2013.11.059
112,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO.[Br-],38.6,[26],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-010-1237-0
113,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],39.5,[27],cationic,10.1016/j.ces.2022.118208,10.1021/la0633029
114,CCCCCCCCCCN1C=C[N+](=C1)C.[Br-],40.0,[27],cationic,10.1016/j.ces.2022.118208,10.1021/la0633029
115,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C2C(O)C(O)C(O)C(O2)CO.[Br-],39.2,[28],cationic,10.1016/j.ces.2022.118208,10.1021/jo0006425
116,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C.[Br-],39.7,[28],cationic,10.1016/j.ces.2022.118208,10.1021/jo0006425
117,[N+]1(=CC=C(C=C1)C)CCCCCCCCCCCC.[Br-],40.7,[28],cationic,10.1016/j.ces.2022.118208,10.1021/jo0006425
118,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Br-],42.3,[28],cationic,10.1016/j.ces.2022.118208,10.1021/jo0006425
119,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],40.0,[29],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1436-6
120,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],41.0,[30],cationic,10.1016/j.ces.2022.118208,10.1016/j.tca.2004.11.009
121,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],42.0,[31],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2005.02.018
122,CCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCCCC.[Br-].[Br-],43.0,[32],cationic,10.1016/j.ces.2022.118208,10.1016/j.cclet.2011.01.030
123,CCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCC.[Br-].[Br-],44.5,[32],cationic,10.1016/j.ces.2022.118208,10.1016/j.cclet.2011.01.030
124,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],42.0,[33],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1706-6
125,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],42.0,[33],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1706-6
126,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],42.3,[33],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1706-6
127,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],43.2,[33],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1706-6
128,C(CCCCCCCCCCCCC[N+](CCC)(CCC)CCC)CC.[Br-],43.5,[34],cationic,10.1016/j.ces.2022.118208,10.1021/j100794a010
129,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],45.6,[35],cationic,10.1016/j.ces.2022.118208,10.1021/la3011212
130,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],46.1,[35],cationic,10.1016/j.ces.2022.118208,10.1021/la3011212
131,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],47.2,[35],cationic,10.1016/j.ces.2022.118208,10.1021/la3011212
132,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Cl-],47.2,[36],cationic,10.1016/j.ces.2022.118208,10.1016/j.jcis.2009.09.009
133,[N+](CC(C[N+](C)(C)CCCCCCCCCC)O)(C)(C)CCCCCCCCCC.[Cl-].[Cl-],36.5,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
134,[N+](CC(C[N+](C)(C)CCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37.0,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
135,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],39.0,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
136,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.2,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
137,C(CC[N+](C)(C)CCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],41.8,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
138,C(CC[N+](C)(C)CCCCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.0,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
139,C(CC(O)C[N+](C)(C)CCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],40.9,[37],cationic,10.1016/j.ces.2022.118208,10.1007/BF02517994
140,CCCCCCCCCCCC[N+](CC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],33.9,[38],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.05.054
141,CCCCCCCCCCCC[N+](CCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],32.9,[38],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.05.054
