number,ref,doi
11,"X. He, L. Wang, J. Wu, J. Yang, W. Ma, L. Bai, B. Zhao, B. Song, The Effects of Amide Bonds and Aromatic Rings on the Surface Properties and Antimicrobial Activity of Cationic Surfactants, J. Surfactants Deterg. 22 (2019) 315–325. https://doi.org/https://doi.org/10.1002/jsde.12221.",10.1002/jsde.12221
12,"J. Bowers, C.P. Butts, P.J. Martin, M.C. Vergara-Gutierrez, R.K. Heenan, Aggregation Behavior of Aqueous Solutions of Ionic Liquids, Langmuir. 20 (2004) 2191–2198. https://doi.org/10.1021/la035940m.",10.1021/la035940m
13,"G. Para, A. Hamerska-Dudra, K.A. Wilk, P. Warszyński, Surface activity of cationic surfactants, influence of molecular structure, Colloids Surfaces A Physicochem. Eng. Asp. 365 (2010) 215–221. https://doi.org/https://doi.org/10.1016/j.colsurfa.2010.02.004.",10.1016/j.colsurfa.2010.02.004
14,"L. Pérez, J.L. Torres, A. Manresa, C. Solans, M.R. Infante, Synthesis, Aggregation, and Biological Properties of a New Class of Gemini Cationic Amphiphilic Compounds from Arginine, bis(Args), Langmuir. 12 (1996) 5296–5301. https://doi.org/10.1021/la960301f.",10.1021/la960301f
15,"T. Yoshimura, A. Ohno, K. Esumi, Mixed micellar properties of cationic trimeric-type quaternary ammonium salts and anionic sodium n-octyl sulfate surfactants, J. Colloid Interface Sci. 272 (2004) 191–196. https://doi.org/https://doi.org/10.1016/j.jcis.2003.12.021.",10.1016/j.jcis.2003.12.021
16,"R.A. Abdel-Rahem, Micellar Parameters in Solutions with Cationic Surfactants and N,N-Dimethyldodecan-1-amine Oxide: Influence of Cationic Surfactant Chain Length, J. Chem. Eng. Data. 57 (2012) 957–966. https://doi.org/10.1021/je201107a.",10.1021/je201107a
17,"L.-C. Zheng, Q.-X. Tong, Synthesis, surface adsorption, micellization behavior and antibacterial activity of novel gemini surfactants with morpholinium headgroup and benzene-based spacer, J. Mol. Liq. 331 (2021) 115781. https://doi.org/https://doi.org/10.1016/j.molliq.2021.115781.",10.1016/j.molliq.2021.115781
18,"G. Sugihara, A. Miyazono, S. Nagadome, T. Oida, Y. Hayashi, J.-S. Ko, Adsorption and Micelle Formation of Mixed Surfactant Systems in Water. II: A Combination of Cationic Gemini-type Surfactant with MEGA-10, J. Oleo Sci. 52 (2003) 449–461.",10.5650/jos.51.715
19,"M.J. Rosen, Surfactants and Interfacial Phenomena, 3rd ed., John Wiley & Sons, Inc., Hoboken, NJ, USA, 2004. https://doi.org/10.1002/0471670561.",10.1002/0471670561
20,"H. Lundqvist, A.-C. Eliasson, G. Olofsson, Binding of hexadecyltrimethylammonium bromide to starch polysaccharides. Part I. Surface tension measurements, Carbohydr. Polym. 49 (2002) 43–55. https://doi.org/https://doi.org/10.1016/S0144-8617(01)00299-5.",10.1016/S0144-8617(01)00299-5
21,"G. Chen, J. Yan, Q. Liu, J. Zhang, H. Li, J. Li, C. Qu, Y. Zhang, Preparation and surface activity study of amino acid surfactants, Comptes Rendus Chim. 22 (2019) 277–282. https://doi.org/https://doi.org/10.1016/j.crci.2018.11.009.",10.1016/j.crci.2018.11.009
22,"Z. Zhao, X. Guo, L. Jia, Y. Liu, Synthesis and properties of quaternary ammonium surfactants containing a methoxy benzyl substitute, RSC Adv. 4 (2014) 56918–56925. https://doi.org/10.1039/C4RA07363K.",10.1039/C4RA07363K
23,"M.J. Rosen, J.H. Mathias, L. Davenport, Aberrant Aggregation Behavior in Cationic Gemini Surfactants Investigated by Surface Tension, Interfacial Tension, and Fluorescence Methods, Langmuir. 15 (1999) 7340–7346. https://doi.org/10.1021/la9904096.",10.1021/la9904096
24,"Y. Wei, F. Wang, Z. Zhang, C. Ren, Y. Lin, Micellization and Thermodynamic Study of 1-Alkyl-3-methylimidazolium Tetrafluoroborate Ionic Liquids in Aqueous Solution, J. Chem. Eng. Data. 59 (2014) 1120–1129. https://doi.org/10.1021/je400861g.",10.1021/je400861g
25,"V. Chauhan, S. Singh, R. Kamboj, R. Mishra, G. Kaur, Self-assembly, DNA binding and cytotoxicity trends of ether functionalized gemini pyridinium amphiphiles, J. Colloid Interface Sci. 417 (2014) 385–395. https://doi.org/https://doi.org/10.1016/j.jcis.2013.11.059.",10.1016/j.jcis.2013.11.059
26,"S.K. Verma, K.K. Ghosh, Micellar and Surface Properties of Some Monomeric Surfactants and a Gemini Cationic Surfactant, J. Surfactants Deterg. 14 (2011) 347–352. https://doi.org/10.1007/s11743-010-1237-0.",10.1007/s11743-010-1237-0
27,"B. Dong, N. Li, L. Zheng, L. Yu, T. Inoue, Surface Adsorption and Micelle Formation of Surface Active Ionic Liquids in Aqueous Solution, Langmuir. 23 (2007) 4178–4182. https://doi.org/10.1021/la0633029.",10.1021/la0633029
28,"G. Viscardi, P. Quagliotto, C. Barolo, P. Savarino, E. Barni, E. Fisicaro, Synthesis and Surface and Antimicrobial Properties of Novel Cationic Surfactants, J. Org. Chem. 65 (2000) 8197–8203. https://doi.org/10.1021/jo0006425.",10.1021/jo0006425
29,"S.P. Sulakhe, S.S. Bhagwat, Synthesis and Properties of a Cationic Surfactant Based on Amidoamine and Glycerol, J. Surfactants Deterg. 16 (2013) 487–494. https://doi.org/10.1007/s11743-013-1436-6.",10.1007/s11743-013-1436-6
30,"J. Mata, D. Varade, P. Bahadur, Aggregation behavior of quaternary salt based cationic surfactants, Thermochim. Acta. 428 (2005) 147–155. https://doi.org/https://doi.org/10.1016/j.tca.2004.11.009.",10.1016/j.tca.2004.11.009
31,"D. Varade, T. Joshi, V.K. Aswal, P.S. Goyal, P.A. Hassan, P. Bahadur, Effect of salt on the micelles of cetyl pyridinium chloride, Colloids Surfaces A Physicochem. Eng. Asp. 259 (2005) 95–101. https://doi.org/https://doi.org/10.1016/j.colsurfa.2005.02.018.",10.1016/j.colsurfa.2005.02.018
32,"X.Z. Sun, N. Wang, D. Cao, Z.Y. Hu, P. Mao, H.B. Zhang, X.H. Zhou, The antimicrobial activities of a series of bis-quaternary ammonium compounds, Chinese Chem. Lett. 22 (2011) 887–890. https://doi.org/https://doi.org/10.1016/j.cclet.2011.01.030.",10.1016/j.cclet.2011.01.030
33,"X. Guo, Y. Zhang, L. Jia, Y. Liu, Z. Zhu, R. Yang, Synthesis and Properties of N-Alkyl-N,N-Dimethyl-N-(o-Hydroxymethyl)Benzylammonium Chlorides, J. Surfactants Deterg. 18 (2015) 845–853. https://doi.org/10.1007/s11743-015-1706-6.",10.1007/s11743-015-1706-6
34,"R.L. Venable, R. V Nauman, Micellar Weights of and Solubilization of Benzene by a Series of Tetradecylammonium Bromides. The Effect of the Size of the Charged Head1a, J. Phys. Chem. 68 (1964) 3498–3503. https://doi.org/10.1021/j100794a010.",10.1021/j100794a010
35,"Q. Zhang, Z. Gao, F. Xu, S. Tai, X. Liu, S. Mo, F. Niu, Surface Tension and Aggregation Properties of Novel Cationic Gemini Surfactants with Diethylammonium Headgroups and a Diamido Spacer, Langmuir. 28 (2012) 11979–11987. https://doi.org/10.1021/la3011212.",10.1021/la3011212
36,"P. Quagliotto, N. Barbero, C. Barolo, E. Artuso, C. Compari, E. Fisicaro, G. Viscardi, Synthesis and properties of cationic surfactants with tuned hydrophylicity, J. Colloid Interface Sci. 340 (2009) 269–275. https://doi.org/https://doi.org/10.1016/j.jcis.2009.09.009.",10.1016/j.jcis.2009.09.009
37,"T.-S. Kim, T. Kida, Y. Nakatsuji, T. Hirao, I. Ikeda, Surface-active properties of novel cationic surfactants with two alkyl chains and two ammonio groups, J. Am. Oil Chem. Soc. 73 (1996) 907–911. https://doi.org/https://doi.org/10.1007/BF02517994.",10.1007/BF02517994
38,"S.M. Tawfik, Simple one step synthesis of gemini cationic surfactant-based ionic liquids: Physicochemical, surface properties and biological activity, J. Mol. Liq. 209 (2015) 320–326. https://doi.org/https://doi.org/10.1016/j.molliq.2015.05.054.",10.1016/j.molliq.2015.05.054
39,"Z.H. Asadov, S.M. Nasibova, R.A. Rahimov, G.A. Ahmadova, S.M. Huseynova, Surface activity and micellization parameters of cationic surfactants containing hydroxyethyl group and C9-chain, J. Mol. Liq. 225 (2017) 451–455. https://doi.org/10.1016/j.molliq.2016.11.105.",10.1016/j.molliq.2016.11.105
40,"D. Xu, X. Ni, C. Zhang, J. Mao, C. Song, Synthesis and properties of biodegradable cationic gemini surfactants with diester and flexible spacers, J. Mol. Liq. 240 (2017) 542–548. https://doi.org/https://doi.org/10.1016/j.molliq.2017.05.092.",10.1016/j.molliq.2017.05.092
41,"R. Li, F. Yan, J. Zhang, C. Xu, J. Wang, The self-assembly properties of a series of polymerizable cationic gemini surfactants: Effect of the acryloxyl group, Colloids Surfaces A Physicochem. Eng. Asp. v. 444 (2014) 276-282–2014 v.444. https://doi.org/10.1016/j.colsurfa.2013.12.079.",10.1016/j.colsurfa.2013.12.079
42,"T. Tatsumi, W. Zhang, T. Kida, Y. Nakatsuji, D. Ono, T. Takeda, I. Ikeda, Novel hydrolyzable and biodegradable cationic gemini surfactants: 1,3-bis[(acyloxyalkyl)-dimethylammonio]-2-hydroxypropane dichloride, J. Surfactants Deterg. 3 (2000) 167–172. https://doi.org/10.1007/s11743-000-0121-4.",10.1007/s11743-000-0121-4
43,"F.F. Lü, L.Q. Zheng, Y.A. Gao, G.Z. Li, Z.H. Tong, Effect of sodium halide on dynamic surface tension of a cationic surfactant, Chinese J. Chem. 23 (2005) 957–962. https://doi.org/10.1002/cjoc.200590957.",10.1002/cjoc.200590957
44,"G. Para, A. Hamerska-Dudra, K.A. Wilk, P. Warszyński, Mechanism of cationic surfactant adsorption – Effect of molecular structure and multiple charge, Colloids Surfaces A Physicochem. Eng. Asp. 383 (2011) 67–72. https://doi.org/https://doi.org/10.1016/j.colsurfa.2011.01.007.",10.1016/j.colsurfa.2011.01.007
45,"Y. Hou, Y. Han, M. Deng, J. Xiang, Y. Wang, Aggregation Behavior of a Tetrameric Cationic Surfactant in Aqueous Solution, Langmuir. 26 (2010) 28–33. https://doi.org/10.1021/la903672r.",10.1021/la903672r
46,"P. Patial, A. Shaheen, I. Ahmad, Synthesis, Characterization and Evaluation of the Surface Active Properties of Novel Cationic Imidazolium Gemini Surfactants, J. Surfactants Deterg. 17 (2014). https://doi.org/10.1007/s11743-013-1472-2.",10.1007/s11743-013-1472-2
47,"Z. Ding, A. Hao, Synthesis and Surface Properties of Novel Cationic Gemini Surfactants, J. Dispers. Sci. Technol. 31 (2010) 338–342. https://doi.org/10.1080/01932690903192580.",10.1080/01932690903192580
48,"X. Huang, Y. Han, Y. Wang, M. Cao, Y. Wang, Aggregation properties of cationic gemini surfactants with dihydroxyethylamino headgroups in aqueous solution, Colloids Surfaces A Physicochem. Eng. Asp. 325 (2008) 26–32. https://doi.org/https://doi.org/10.1016/j.colsurfa.2008.04.028.",10.1016/j.colsurfa.2008.04.028
49,"M.A. Hegazy, A.Y. El-Etre, M. El-Shafaie, K.M. Berry, Novel cationic surfactants for corrosion inhibition of carbon steel pipelines in oil and gas wells applications, J. Mol. Liq. 214 (2016) 347–356. https://doi.org/https://doi.org/10.1016/j.molliq.2015.11.047.",10.1016/j.molliq.2015.11.047
50,"B. Li, Q. Zhang, Y. Xia, Z. Gao, Surface properties and aggregation behavior of cationic gemini surfactants with dipropylammonium head-groups, Colloids Surfaces A Physicochem. Eng. Asp. 470 (2015) 211–217. https://doi.org/https://doi.org/10.1016/j.colsurfa.2015.02.005.",10.1016/j.colsurfa.2015.02.005
51,"N.A. Negm, S.M.I. Morsy, M.M. Said, Biocidal activity of some Mannich base cationic derivatives, Bioorg. Med. Chem. 13 (2005) 5921–5926. https://doi.org/https://doi.org/10.1016/j.bmc.2005.07.031.",10.1016/j.bmc.2005.07.031
52,"Y. Wang, Y. Jiang, T. Geng, H. Ju, S. Duan, Synthesis, surface/interfacial properties, and biological activity of amide-based Gemini cationic surfactants with hydroxyl in the spacer group, Colloids Surfaces A Physicochem. Eng. Asp. 563 (2018). https://doi.org/10.1016/j.colsurfa.2018.11.061.",10.1016/j.colsurfa.2018.11.061
53,"J.C. Lim, E. Kang, J. Park, H.C. Kang, B. Min Lee, Syntheses and surface active properties of cationic surfactants having multi ammonium and hydroxyl groups, J. Ind. Eng. Chem. 18 (2012) 1406–1411. https://doi.org/https://doi.org/10.1016/j.jiec.2012.01.040.",10.1016/j.jiec.2012.01.040
54,"N.A. Negm, Y.M. Elkholy, F.M. Ghuiba, M.K. Zahran, S.A. Mahmoud, S.M. Tawfik, Benzothiazol-3-ium Cationic Schiff Base Surfactants: Synthesis, Surface Activity and Antimicrobial Applications against Pathogenic and Sulfur Reducing Bacteria in Oil Fields, J. Dispers. Sci. Technol. 32 (2011) 512–518. https://doi.org/10.1080/01932691003756902.",10.1080/01932691003756902
55,"S.M. Shaban, I. Aiad, A.R. Ismail, Surface Parameters and Biological Activity of N-(3-(Dimethyl Benzyl Ammonio) Propyl) Alkanamide Chloride Cationic Surfactants, J. Surfactants Deterg. 19 (2016) 501–510. https://doi.org/10.1007/s11743-016-1795-x.",10.1007/s11743-016-1795-x
56,"S.M. Shaban, R.M. El-Sherif, M.A. Fahim, Studying the surface behavior of some prepared free hydroxyl cationic amphipathic compounds in aqueous solution and their biological activity, J. Mol. Liq. 252 (2018) 40–51. https://doi.org/https://doi.org/10.1016/j.molliq.2017.12.105.",10.1016/j.molliq.2017.12.105
57,"P. Patial, A. Shaheen, I. Ahmad, Synthesis, surface active and thermal properties of novel imidazolium cationic monomeric surfactants, J. Ind. Eng. Chem. 20 (2014) 4267–4275. https://doi.org/10.1016/j.jiec.2014.01.032.",10.1016/j.jiec.2014.01.032
58,"N.A. Negm, N.G. Kandile, I.A. Aiad, M.A. Mohammad, New eco-friendly cationic surfactants: Synthesis, characterization and applicability as corrosion inhibitors for carbon steel in 1N HCl, Colloids Surfaces A Physicochem. Eng. Asp. 391 (2011) 224–233. https://doi.org/https://doi.org/10.1016/j.colsurfa.2011.09.032.",10.1016/j.colsurfa.2011.09.032
59,"K. Shalabi, A.M. Helmy, A.H. El-Askalany, M.M. Shahba, New pyridinium bromide mono-cationic surfactant as corrosion inhibitor for carbon steel during chemical cleaning: Experimental and theoretical studies, J. Mol. Liq. 293 (2019) 111480. https://doi.org/10.1016/j.molliq.2019.111480.",10.1016/j.molliq.2019.111480
60,"S.M.S. Hussain, M.S. Kamal, B. El Ali, A.S. Sultan, Synthesis and Evaluation of Novel Amido-Amine Cationic Gemini Surfactants Containing Flexible and Rigid Spacers, J. Surfactants Deterg. 20 (2017) 777–788. https://doi.org/10.1007/s11743-017-1969-1.",10.1007/s11743-017-1969-1
61,"Z.H. Asadov, G.A. Ahmadova, R.A. Rahimov, S.-Z.F. Hashimzade, S.M. Nasibova, E.H. Ismailov, S.A. Suleymanova, S.A. Muradova, N.Z. Asadova, F.I. Zubkov, Surface properties and premicellar aggregation behavior of cationic gemini surfactants with mono- and di-(2-hydroxypropyl)ammonium head groups, Colloids Surfaces A Physicochem. Eng. Asp. 575 (2019) 212–221. https://doi.org/https://doi.org/10.1016/j.colsurfa.2019.05.019.",10.1016/j.colsurfa.2019.05.019
62,"M.I. Nessim, M.M. Osman, D.A. Ismail, Surface-active properties of new cationic gemini surfactants with cyclic spacer, J. Dispers. Sci. Technol. 39 (2018) 1047–1055. https://doi.org/10.1080/01932691.2017.1381916.",10.1080/01932691.2017.1381916
63,"W.F. Lv, Z.H. Zhou, Q. Zhang, W.L. Luo, H.Z. Wang, D.S. Ma, L. Zhang, R. Wang, L. Zhang, Wetting of polymer surfaces by aqueous solutions of branched cationic Gemini surfactants, Soft Matter. 15 (2019) 6725–6731. https://doi.org/10.1039/c9sm01086f.",10.1039/c9sm01086f
64,"E.E. Badr, E.M. Kandeel, B.M. El-Sadek, Novel Gemini Cationic Surfactants Based on N, N-Dimethyl Fatty Hydrazide and 1,3-Dibromopropane: Synthesis, Evaluation of Surface and Antimicrobial Properties, J. Oleo Sci. 59 (2010) 647–652. https://doi.org/10.5650/jos.59.647.",10.5650/jos.59.647
65,"S.M. Tawfik, Synthesis, surface, biological activity and mixed micellar phase properties of some biodegradable gemini cationic surfactants containing oxycarbonyl groups in the lipophilic part, J. Ind. Eng. Chem. 28 (2015) 171–183. https://doi.org/https://doi.org/10.1016/j.jiec.2015.02.011.",10.1016/j.jiec.2015.02.011
66,"H. Zhu, Z. Hu, X. Ma, J. Wang, D. Cao, Synthesis, Surface and Antimicrobial Activities of Cationic Gemini Surfactants with Semi-Rigid Spacers, J. Surfactants Deterg. 19 (2016) 265–274. https://doi.org/10.1007/s11743-015-1777-4.",10.1007/s11743-015-1777-4
67,"M. Sulek, T. Wasilewski, M. Zięba, Tribological and physical-chemical properties of aqueous solutions of cationic surfactants, Ind. Lubr. Tribol. 62 (2010) 279–284. https://doi.org/10.1108/00368791011064437.",10.1108/00368791011064437
68,"S. Shaban, I. Aiad, F. Yassin, A. Mosalam, The Tail Effect of Some Prepared Cationic Surfactants on Silver Nanoparticle Preparation and Their Surface, Thermodynamic Parameters, and Antimicrobial Activity, J. Surfactants Deterg. 22 (2019). https://doi.org/10.1002/jsde.12318.",10.1002/jsde.12318
69,"G. Cao, X. Guo, L. Jia, X. Tian, Aggregation behaviours and bactericidal activities of novel cationic surfactants functionalized with amides and ether groups, RSC Adv. 5 (2015) 27197–27204. https://doi.org/10.1039/C4RA14645J.",10.1039/C4RA14645J
70,"S. Shimizu, O.A. El Seoud, Synthesis and Aggregation of Benzyl(2-acylaminoethyl)dimethylammonium Chloride Surfactants, Langmuir. 19 (2003) 238–243. https://doi.org/10.1021/la026286y.",10.1021/la026286y
71,"M. Migahed  M.A, N. Negm, M. Shaban, T. Ali, A. Fadda, Synthesis, Characterization, Surface and Biological Activity of Diquaternary Cationic Surfactants Containing Ester Linkage, J. Surfactants Deterg. 19 (2015) 119.",10.1007/s11743-015-1749-8
72,"K. Taleb, M. Mohamed-Benkada, N. Benhamed, S. Saidi-Besbes, Y. Grohens, A. Derdour, Benzene ring containing cationic gemini surfactants: Synthesis, surface properties and antibacterial activity, J. Mol. Liq. 241 (2017) 81–90. https://doi.org/https://doi.org/10.1016/j.molliq.2017.06.008.",10.1016/j.molliq.2017.06.008
73,"F.I. El-Dib, S.M. Ahmed, D.A. Ismail, D.E. Mohamed, Synthesis and Surface Properties of Novel N-Alkyl Quinoline-Based Cationic Gemini Surfactants, J. Dispers. Sci. Technol. 34 (2013) 596–603. https://doi.org/10.1080/01932691.2012.683979.",10.1080/01932691.2012.683979
74,"L. Zhi, Q. Li, Y. Li, Y. Sun, Self-aggregation and antimicrobial activity of saccharide-cationic surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 456 (2014) 231–237. https://doi.org/https://doi.org/10.1016/j.colsurfa.2014.05.042.",10.1016/j.colsurfa.2014.05.042
75,"X.-G. Liu, X.-J. Xing, Z.-N. Gao, Synthesis and physicochemical properties of star-like cationic trimeric surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 457 (2014) 374–381. https://doi.org/https://doi.org/10.1016/j.colsurfa.2014.06.019.",10.1016/j.colsurfa.2014.06.019
76,"I.T. Gawali, G.A. Usmani, Synthesis, surface active properties and applications of cationic gemini surfactants from triethylenetetramine, J. Dispers. Sci. Technol. 41 (2020) 450–460. https://doi.org/10.1080/01932691.2019.1584112.",10.1080/01932691.2019.1584112
77,"N.A. Negm, M.F. Zaki, M.A.I. Salem, Antibacterial and antifungal activities-surface active properties relation of novel Dischiff base cationic Gemini amphiphiles bearing homogeneous hydrophobes, J. Dispers. Sci. Technol. 31 (2010) 1390–1395. https://doi.org/10.1080/01932690903269784.",10.1080/01932690903269784
78,"Z. Zhang, P. Zheng, Y. Guo, Y. Yang, Z. Chen, X. Wang, X. An, W. Shen, The effect of the spacer rigidity on the aggregation behavior of two ester-containing Gemini surfactants, J. Colloid Interface Sci. 379 (2012) 64–71. https://doi.org/https://doi.org/10.1016/j.jcis.2012.04.052.",10.1016/j.jcis.2012.04.052
79,"A. Sokolowski, A. Bieniecki, K.A. Wilk, B. Burczyk, Surface activity and micelle formation of chemodegradable cationic surfactants containing the 1,3-dioxolane moiety, Colloids Surfaces A Physicochem. Eng. Asp. 98 (1995) 73–82. https://doi.org/10.1016/0927-7757(95)03093-S.",10.1016/0927-7757(95)03093-S
80,"C. Wu, Y. Hou, M. Deng, X. Huang, D. Yu, J. Xiang, Y. Liu, Z. Li, Y. Wang, Molecular Conformation-Controlled Vesicle/Micelle Transition of Cationic Trimeric Surfactants in Aqueous Solution, Langmuir. 26 (2010) 7922–7927. https://doi.org/10.1021/la9048067.",10.1021/la9048067
81,"I.A. Aiad, S.M. Tawfik, M. El-Shafie, A.L.A. Rhman, 4-Aminoantipyrine derived cationic surfactants: Synthesis, characterization, surface activity and screening for potential antimicrobial activities, Egypt. J. Pet. 27 (2018) 327–334. https://doi.org/https://doi.org/10.1016/j.ejpe.2017.05.006.",10.1016/j.ejpe.2017.05.006
82,"T. Yoshimura, T. Kusano, H. Iwase, M. Shibayama, T. Ogawa, H. Kurata, Star-Shaped Trimeric Quaternary Ammonium Bromide Surfactants: Adsorption and Aggregation Properties, Langmuir. 28 (2012) 9322–9331. https://doi.org/10.1021/la301220y.",10.1021/la301220y
83,"K. Kuperkar, J. Modi, K. Patel, Surface-active properties and antimicrobial study of conventional cationic and synthesized symmetrical gemini surfactants, J. Surfactants Deterg. 15 (2012) 107–115. https://doi.org/10.1007/s11743-011-1269-0.",10.1007/s11743-011-1269-0
84,"W. Zieliński, K.A. Wilk, G. Para, E. Jarek, K. Ciszewski, J. Palus, P. Warszyński, Synthesis, surface activity and antielectrostatic properties of new soft dichain cationic surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 480 (2015) 63–70. https://doi.org/https://doi.org/10.1016/j.colsurfa.2015.01.050.",10.1016/j.colsurfa.2015.01.050
85,"S.M. Shaban, I. Aiad, H.A. Fetouh, A. Maher, Amidoamine double tailed cationic surfactant based on dimethylaminopropylamine: Synthesis, characterization and evaluation as biocide, J. Mol. Liq. 212 (2015) 699–707. https://doi.org/https://doi.org/10.1016/j.molliq.2015.10.024.",10.1016/j.molliq.2015.10.024
86,"D. Xu, B. Qi, D. Fang, X. Zhang, T. Zhang, Preparation, Characterization and Properties of Novel Cationic Gemini Surfactants with Rigid Amido Spacer Groups, J. Surfactants Deterg. 19 (2016) 91–99. https://doi.org/10.1007/s11743-015-1752-0.",10.1007/s11743-015-1752-0
87,"O. Kirk, F. Pedersen, C. Fuglsang, Preparation and properties of a new type of carbohydrate-based cationic surfactant, J. Surfactants Deterg. 1 (1998) 37–40. https://doi.org/10.1007/s11743-998-0005-7.",10.1007/s11743-998-0005-7
88,"A. Bhadani, M. Tani, T. Endo, K. Sakai, M. Abe, H. Sakai, New Ester based Gemini Surfactants: Effect of Different Cationic Headgroups on Micellization Properties and Viscosity of Aqueous Micellar Solution, Phys. Chem. Chem. Phys. 17 (2015). https://doi.org/10.1039/C5CP02115D.",10.1039/C5CP02115D
89,"Z.H. Asadov, S.M. Nasibova, R.A. Rahimov, E.K. Gasimov, S.A. Muradova, F.H. Rzayev, N.Z. Asadova, F.I. Zubkov, Effects of head group on the properties of cationic surfactants containing hydroxyethyl- and hydroxyisopropyl fragments, J. Mol. Liq. 274 (2019) 125–132. https://doi.org/10.1016/j.molliq.2018.10.100.",10.1016/j.molliq.2018.10.100
90,"J. Lakra, D. Tikariha, T. Yadav, S. Das, S. Ghosh, M.L. Satnami, K.K. Ghosh, Mixed micellization of gemini and cationic surfactants: Physicochemical properties and solubilization of polycyclic aromatic hydrocarbons, Colloids Surfaces A Physicochem. Eng. Asp. 451 (2014) 56–65. https://doi.org/10.1016/j.colsurfa.2014.03.037.",10.1016/j.colsurfa.2014.03.037
91,"K. Parikh, B. Mistry, S. Jana, S. Gupta, R. Devkar, S. Kumar, Physico-biochemical studies on cationic gemini surfactants: Role of spacer, J. Mol. Liq. 206 (2015). https://doi.org/10.1016/j.molliq.2015.01.055.",10.1016/j.molliq.2015.01.055
92,"S.M. Shaban, A.S. Fouda, S.M. Rashwan, H.E. Ibrahim, M.F. El-Bhrawy, Synthesis and characterization of newly cationic surfactants based on 2-(2-(dimethylamino)ethoxy)ethanol: physiochemical, thermodynamic and evaluation as biocide, J. Mol. Liq. 221 (2016) 224–234. https://doi.org/https://doi.org/10.1016/j.molliq.2016.05.088.",10.1016/j.molliq.2016.05.088
93,"I. Mandru, Surface-active cationic substances of the type alkyl ether trimethylammonium and alkyl ether pyridinium halides micelle formation and oxyethylene groups behavior. V., J. Colloid Interface Sci. 41 (1972) 430–436. https://doi.org/https://doi.org/10.1016/0021-9797(72)90366-9.",10.1016/0021-9797(72)90366-9
